Player,Batting Form,Bowling Form,Fielding Form
A Zampa,27.109856454194578,73.39535624943117,30.54703978756132
AAP Atkinson,36.841039854417666,51.209588996743314,30.243446522256857
AK Markram,81.61147870416094,30.167102465350506,59.13444689091053
AM Hardie,35.925133599805484,43.59340431889356,40.99151823093929
AR Patel,41.00687851088429,38.82509141036724,32.22037104488908
AT Carey,69.28867491389413,43.5848814210451,80.75216776092762
AU Rashid,24.950467473381014,54.62648722251218,38.85111191507305
Abrar Ahmed,31.808096551511227,70.61364737136691,35.61673328680592
Agha Salman,53.326416151317396,50.78477057291599,47.27358886511262
Arshdeep Singh,32.122401634758496,73.38149920215749,33.462984836410264
Azmatullah Omarzai,73.27202734225645,56.77043473811271,32.47576945877044
BA Carse,36.806125177931456,47.176431236863,45.118266744235804
BJ Dwarshuis,10.234446090913181,38.37001825597221,26.974604171651873
BM Duckett,90.12430320740134,43.5848814210451,32.081857333941585
Babar Azam,74.65698731864526,43.5848814210451,40.179966339946446
Bilal Sami,10.234446090913181,26.091577018303425,41.07661766585241
C Bosch,35.767397427087964,24.592830003349054,26.974604171651873
C Connolly,11.350760695205974,35.196178030068936,26.974604171651873
DA Miller,77.26700711846695,43.5848814210451,69.20874989334091
DJ Mitchell,93.81390025778093,34.39856123343512,69.00064271224024
DP Conway,83.757123023659,43.5848814210451,64.26299235789173
Faheem Ashraf,17.82307257439081,33.56492339462606,41.933855959153945
Fakhar Zaman,80.2118511417733,43.5848814210451,51.98155021340489
Fazalhaq Farooqi,10.96922513175128,51.76104977274092,29.24636542996458
GD Phillips,70.74674525959075,35.90688979779527,58.0183404171777
GJ Maxwell,81.27954108155673,57.963134720786314,56.76948361917816
Gulbadin Naib,36.940974014724624,38.40710874006663,37.93808320688373
H Klaasen,95.58476697694323,43.5848814210451,92.83364187352461
HC Brook,75.59374932028562,43.5848814210451,30.39505314122251
HE van der Dussen,74.4233185223374,43.5848814210451,52.56008400287785
HH Pandya,51.6366177058737,55.02588141032535,34.92343653514503
Haris Rauf,29.76254069048713,76.1132258463492,34.084540855228724
Harshit Rana,10.234446090913181,56.223210935880445,26.974604171651873
Hashmatullah Shahidi,55.244535433239456,43.5848814210451,34.782832803464565
Ibrahim Zadran,77.21630454809797,43.5848814210451,42.721734213153546
Ikram Alikhil,28.44056770035133,43.5848814210451,95.82409324358521
J Overton,30.853440492133494,42.29627452078087,26.974604171651873
JA Duffy,12.261259194179697,64.27239779241589,26.974604171651873
JC Archer,35.503035775045376,34.68868303541792,29.899964140126695
JC Buttler,66.19001099830164,43.5848814210451,97.97734082435656
JE Root,53.49903319679045,31.352782292305672,51.907516692499485
JL Smith,55.15596454956301,43.5848814210451,81.18318716616685
JP Inglis,66.67912654940952,43.5848814210451,99.69153040711032
K Rabada,29.440930159551826,74.08139267452528,60.10927933866871
KA Jamieson,36.72305219768977,49.576856307680444,26.974604171651873
KA Maharaj,24.26370681076772,78.87967277169659,48.339357678796
KL Rahul,75.77386640208267,43.5848814210451,99.98157671859103
KS Williamson,72.40665686572868,43.5848814210451,35.5650102254872
Kamran Ghulam,60.59855373536665,40.83957196727468,46.82556942760548
Khushdil Shah,29.193081007900574,26.97330229939092,41.07661766585241
Kuldeep Yadav,12.649447167142155,71.89252868269077,32.99891177773207
L Ngidi,15.859433091514965,66.97390281923582,36.84134549842808
LS Livingstone,66.94564510798135,35.92923921768702,41.607013664677915
M Jansen,62.28623596456697,71.97179510248846,46.03063924708089
M Labuschagne,76.29139011637253,41.78066837595226,68.9438842720787
MA Wood,35.577408587154075,49.75934104114883,32.744573173177976
MG Bracewell,43.61733738710403,53.17971541594467,36.1119965229862
MJ Henry,18.05288854274378,74.27650219643024,43.051973446293424
MJ Santner,35.615153427624264,64.51608329871206,51.56447088434328
MS Chapman,69.87093078091021,43.5848814210451,34.92343653514503
MW Short,51.66759860067311,27.404525131090114,45.59522347566119
Mahmudullah,86.45149232530329,38.975434016921824,39.59418113757128
Mehidy Hasan Miraz,61.473568754377595,49.114441906764114,41.572419076845335
Mohammad Hasnain,30.503104994094834,47.59958670739622,32.744573173177976
Mohammad Nabi,57.53487859179872,53.550660573656344,58.81084147709931
Mohammad Rizwan,78.97067658353997,43.5848814210451,94.53249761304981
Mohammed Shami,14.030933605501358,78.36474584620748,33.42492139890745
Mushfiqur Rahim,56.351604617513935,43.5848814210451,99.25907248450625
Mustafizur Rahman,12.891458643805473,58.014135184370254,33.7897842781592
NG Smith,24.34405899671424,44.812296357312356,58.080860089599724
NT Ellis,60.825406114148365,65.44849909059168,57.40782521572592
Nahid Rana,12.893598201131535,46.329186142636644,41.933855959153945
Najmul Hossain Shanto,77.68831722814329,39.15481702946591,38.20531247272744
Nangeyalia Kharote,24.78242144169578,70.63386097262315,30.39505314122251
Naseem Shah,24.877652081725998,64.43808697511906,28.717275335891028
Nasum Ahmed,28.306431079109473,39.15604803258926,30.92013995262303
Naveed Zadran,14.034581781050175,39.006869013000305,26.974604171651873
Noor Ahmad,13.337200741718181,35.69044122882708,28.717275335891028
PD Salt,71.51288952094424,43.5848814210451,46.16636761507817
PWA Mulder,34.24323066421464,36.77002838094511,34.5952292564319
R Ravindra,88.19745243836522,45.90284971754563,34.080918789005054
RA Jadeja,45.092436318506806,77.35923137874818,51.38219159087246
RG Sharma,89.47165547090422,39.939077955561174,45.621391192748725
RR Pant,19.96673237717257,43.5848814210451,48.15051929506744
Rahmanullah Gurbaz,81.2312436593836,43.5848814210451,50.46403449911119
Rahmat Shah,45.38881798338863,41.86082994135296,32.71777406117216
Rashid Khan,31.269613189733803,70.61507731862304,34.51271484299519
Rishad Hossain,32.45639672048876,37.65252750204069,41.16178338716908
S Mahmood,11.282892058171186,35.195062583811044,26.974604171651873
SA Abbott,41.392065918496975,52.380169560255794,52.919084347379254
SH Johnson,15.528201588004507,30.273047976680928,26.974604171651873
SPD Smith,78.29054303370908,43.5848814210451,38.08901257915442
SS Iyer,91.87916497759605,43.5848814210451,43.151227847242744
Saud Shakeel,65.22802682201593,43.5848814210451,41.61843216237236
Sediqullah Atal,80.3754861683236,43.5848814210451,58.080860089599724
Shaheen Shah Afridi,32.20533835195911,72.15110111492241,38.37208259716453
Shubman Gill,89.6813011149754,36.494629184303065,63.26103112325287
Soumya Sarkar,67.34923737114732,30.69663830617029,52.605576135495596
T Bavuma,60.18856797968376,43.5848814210451,40.234439796162654
T Sangha,10.234446090913181,37.78589842029752,26.974604171651873
T Shamsi,17.74062147996028,51.57825462109033,29.66229577754609
T Stubbs,60.86374530066638,38.650231912551696,35.5650102254872
T de Zorzi,75.97249677757986,43.5848814210451,26.974604171651873
TM Head,96.28877800880397,56.138245554908465,34.48687556082506
TWM Latham,36.69511399185401,43.5848814210451,94.69568356145362
Tanzid Hasan,59.51633803931452,43.5848814210451,41.520643149313024
Tanzim Hasan Sakib,36.34845308384357,47.82367925222683,29.383629513980516
Taskin Ahmed,15.365125068692327,61.631208438394594,28.073769999932356
Tayyab Tahir,44.50980930709701,43.5848814210451,35.07678600994867
Towhid Hridoy,58.98453893558413,40.231496119625085,41.11368975634169
V Kohli,85.58655885654836,41.950926550878215,59.3693307582709
W O'Rourke,11.048647275344223,50.92889327950889,26.974604171651873
WA Young,80.1710923886522,43.5848814210451,55.621621860397575
Washington Sundar,39.29227988640928,58.907315724784,36.66637966173855
